n_drones,payload_kg,distance_km,fleet_Wh_per_km,cruise_Wh_per_drone,available_cruise_Wh_per_drone,CL,CD_total,thrust_required_per_drone_N,power_required_per_drone_W,feasible,reason
2,5.0,2.0,43.82085137283531,43.820851372835314,422.3355269213965,0.3294881054785062,0.1292470894012791,47.692576142275534,1577.5506494220713,True,
3,5.0,2.0,47.14534960492421,31.43023306994948,422.3355269213965,0.3073413852444539,0.09270167092219052,34.20720357768448,1131.4883905181812,True,
4,5.0,2.0,50.48523928283781,25.24261964141891,422.3355269213965,0.2962680251274278,0.07445165977627283,27.47289296221122,908.7343070910807,True,
5,5.0,2.0,53.83128553908126,21.532514215632503,422.3355269213965,0.28962400905721214,0.06350891647868273,23.434986806310377,775.1705117627702,True,
6,5.0,2.0,57.18041008448963,19.06013669482988,422.3355269213965,0.2851946650104017,0.05621678069277287,20.744166124619447,686.1649210138756,True,
2,5.0,4.0,43.82085137283531,87.64170274567063,422.3355269213965,0.3294881054785062,0.1292470894012791,47.692576142275534,1577.5506494220713,True,
3,5.0,4.0,47.14534960492421,62.86046613989896,422.3355269213965,0.3073413852444539,0.09270167092219052,34.20720357768448,1131.4883905181812,True,
4,5.0,4.0,50.48523928283781,50.48523928283782,422.3355269213965,0.2962680251274278,0.07445165977627283,27.47289296221122,908.7343070910807,True,
5,5.0,4.0,53.83128553908126,43.065028431265006,422.3355269213965,0.28962400905721214,0.06350891647868273,23.434986806310377,775.1705117627702,True,
6,5.0,4.0,57.18041008448963,38.12027338965976,422.3355269213965,0.2851946650104017,0.05621678069277287,20.744166124619447,686.1649210138756,True,
2,5.0,6.0,43.82085137283531,131.46255411850595,422.3355269213965,0.3294881054785062,0.1292470894012791,47.692576142275534,1577.5506494220713,True,
3,5.0,6.0,47.14534960492421,94.29069920984843,422.3355269213965,0.3073413852444539,0.09270167092219052,34.20720357768448,1131.4883905181812,True,
4,5.0,6.0,50.48523928283781,75.72785892425672,422.3355269213965,0.2962680251274278,0.07445165977627283,27.47289296221122,908.7343070910807,True,
5,5.0,6.0,53.83128553908126,64.59754264689752,422.3355269213965,0.28962400905721214,0.06350891647868273,23.434986806310377,775.1705117627702,True,
6,5.0,6.0,57.18041008448963,57.18041008448964,422.3355269213965,0.2851946650104017,0.05621678069277287,20.744166124619447,686.1649210138756,True,
2,5.0,8.0,43.82085137283531,175.28340549134126,422.3355269213965,0.3294881054785062,0.1292470894012791,47.692576142275534,1577.5506494220713,True,
3,5.0,8.0,47.14534960492421,125.72093227979792,422.3355269213965,0.3073413852444539,0.09270167092219052,34.20720357768448,1131.4883905181812,True,
4,5.0,8.0,50.48523928283781,100.97047856567563,422.3355269213965,0.2962680251274278,0.07445165977627283,27.47289296221122,908.7343070910807,True,
5,5.0,8.0,53.83128553908126,86.13005686253001,422.3355269213965,0.28962400905721214,0.06350891647868273,23.434986806310377,775.1705117627702,True,
6,5.0,8.0,57.18041008448963,76.24054677931952,422.3355269213965,0.2851946650104017,0.05621678069277287,20.744166124619447,686.1649210138756,True,
2,5.0,10.0,43.82085137283531,219.10425686417656,422.3355269213965,0.3294881054785062,0.1292470894012791,47.692576142275534,1577.5506494220713,True,
3,5.0,10.0,47.14534960492421,157.1511653497474,422.3355269213965,0.3073413852444539,0.09270167092219052,34.20720357768448,1131.4883905181812,True,
4,5.0,10.0,50.48523928283781,126.21309820709455,422.3355269213965,0.2962680251274278,0.07445165977627283,27.47289296221122,908.7343070910807,True,
5,5.0,10.0,53.83128553908126,107.66257107816253,422.3355269213965,0.28962400905721214,0.06350891647868273,23.434986806310377,775.1705117627702,True,
6,5.0,10.0,57.18041008448963,95.3006834741494,422.3355269213965,0.2851946650104017,0.05621678069277287,20.744166124619447,686.1649210138756,True,
2,5.0,12.0,43.82085137283531,262.9251082370119,422.3355269213965,0.3294881054785062,0.1292470894012791,47.692576142275534,1577.5506494220713,True,
3,5.0,12.0,47.14534960492421,188.58139841969685,422.3355269213965,0.3073413852444539,0.09270167092219052,34.20720357768448,1131.4883905181812,True,
4,5.0,12.0,50.48523928283781,151.45571784851344,422.3355269213965,0.2962680251274278,0.07445165977627283,27.47289296221122,908.7343070910807,True,
5,5.0,12.0,53.83128553908126,129.19508529379505,422.3355269213965,0.28962400905721214,0.06350891647868273,23.434986806310377,775.1705117627702,True,
6,5.0,12.0,57.18041008448963,114.36082016897927,422.3355269213965,0.2851946650104017,0.05621678069277287,20.744166124619447,686.1649210138756,True,
2,5.0,14.0,43.82085137283531,306.7459596098472,422.3355269213965,0.3294881054785062,0.1292470894012791,47.692576142275534,1577.5506494220713,True,
3,5.0,14.0,47.14534960492421,220.01163148964633,422.3355269213965,0.3073413852444539,0.09270167092219052,34.20720357768448,1131.4883905181812,True,
4,5.0,14.0,50.48523928283781,176.69833748993236,422.3355269213965,0.2962680251274278,0.07445165977627283,27.47289296221122,908.7343070910807,True,
5,5.0,14.0,53.83128553908126,150.72759950942753,422.3355269213965,0.28962400905721214,0.06350891647868273,23.434986806310377,775.1705117627702,True,
6,5.0,14.0,57.18041008448963,133.42095686380915,422.3355269213965,0.2851946650104017,0.05621678069277287,20.744166124619447,686.1649210138756,True,
2,5.0,16.0,43.82085137283531,350.5668109826825,422.3355269213965,0.3294881054785062,0.1292470894012791,47.692576142275534,1577.5506494220713,True,
3,5.0,16.0,47.14534960492421,251.44186455959584,422.3355269213965,0.3073413852444539,0.09270167092219052,34.20720357768448,1131.4883905181812,True,
4,5.0,16.0,50.48523928283781,201.94095713135127,422.3355269213965,0.2962680251274278,0.07445165977627283,27.47289296221122,908.7343070910807,True,
5,5.0,16.0,53.83128553908126,172.26011372506002,422.3355269213965,0.28962400905721214,0.06350891647868273,23.434986806310377,775.1705117627702,True,
6,5.0,16.0,57.18041008448963,152.48109355863903,422.3355269213965,0.2851946650104017,0.05621678069277287,20.744166124619447,686.1649210138756,True,
2,5.0,18.0,43.82085137283531,394.3876623555178,422.3355269213965,0.3294881054785062,0.1292470894012791,47.692576142275534,1577.5506494220713,True,
3,5.0,18.0,47.14534960492421,282.8720976295453,422.3355269213965,0.3073413852444539,0.09270167092219052,34.20720357768448,1131.4883905181812,True,
4,5.0,18.0,50.48523928283781,227.18357677277018,422.3355269213965,0.2962680251274278,0.07445165977627283,27.47289296221122,908.7343070910807,True,
5,5.0,18.0,53.83128553908126,193.79262794069254,422.3355269213965,0.28962400905721214,0.06350891647868273,23.434986806310377,775.1705117627702,True,
6,5.0,18.0,57.18041008448963,171.5412302534689,422.3355269213965,0.2851946650104017,0.05621678069277287,20.744166124619447,686.1649210138756,True,
2,5.0,20.0,43.82085137283531,438.2085137283531,422.3355269213965,0.3294881054785062,0.1292470894012791,47.692576142275534,1577.5506494220713,False,battery 438.2 Wh > 422.3 Wh
3,5.0,20.0,47.14534960492421,314.3023306994948,422.3355269213965,0.3073413852444539,0.09270167092219052,34.20720357768448,1131.4883905181812,True,
4,5.0,20.0,50.48523928283781,252.4261964141891,422.3355269213965,0.2962680251274278,0.07445165977627283,27.47289296221122,908.7343070910807,True,
5,5.0,20.0,53.83128553908126,215.32514215632506,422.3355269213965,0.28962400905721214,0.06350891647868273,23.434986806310377,775.1705117627702,True,
6,5.0,20.0,57.18041008448963,190.6013669482988,422.3355269213965,0.2851946650104017,0.05621678069277287,20.744166124619447,686.1649210138756,True,
2,5.0,22.0,43.82085137283531,482.02936510118843,422.3355269213965,0.3294881054785062,0.1292470894012791,47.692576142275534,1577.5506494220713,False,battery 482.0 Wh > 422.3 Wh
3,5.0,22.0,47.14534960492421,345.73256376944425,422.3355269213965,0.3073413852444539,0.09270167092219052,34.20720357768448,1131.4883905181812,True,
4,5.0,22.0,50.48523928283781,277.668816055608,422.3355269213965,0.2962680251274278,0.07445165977627283,27.47289296221122,908.7343070910807,True,
5,5.0,22.0,53.83128553908126,236.85765637195757,422.3355269213965,0.28962400905721214,0.06350891647868273,23.434986806310377,775.1705117627702,True,
6,5.0,22.0,57.18041008448963,209.66150364312867,422.3355269213965,0.2851946650104017,0.05621678069277287,20.744166124619447,686.1649210138756,True,
2,5.0,24.0,43.82085137283531,525.8502164740238,422.3355269213965,0.3294881054785062,0.1292470894012791,47.692576142275534,1577.5506494220713,False,battery 525.9 Wh > 422.3 Wh
3,5.0,24.0,47.14534960492421,377.1627968393937,422.3355269213965,0.3073413852444539,0.09270167092219052,34.20720357768448,1131.4883905181812,True,
4,5.0,24.0,50.48523928283781,302.9114356970269,422.3355269213965,0.2962680251274278,0.07445165977627283,27.47289296221122,908.7343070910807,True,
5,5.0,24.0,53.83128553908126,258.3901705875901,422.3355269213965,0.28962400905721214,0.06350891647868273,23.434986806310377,775.1705117627702,True,
6,5.0,24.0,57.18041008448963,228.72164033795855,422.3355269213965,0.2851946650104017,0.05621678069277287,20.744166124619447,686.1649210138756,True,
2,5.0,26.0,43.82085137283531,569.671067846859,422.3355269213965,0.3294881054785062,0.1292470894012791,47.692576142275534,1577.5506494220713,False,battery 569.7 Wh > 422.3 Wh
3,5.0,26.0,47.14534960492421,408.5930299093432,422.3355269213965,0.3073413852444539,0.09270167092219052,34.20720357768448,1131.4883905181812,True,
4,5.0,26.0,50.48523928283781,328.1540553384458,422.3355269213965,0.2962680251274278,0.07445165977627283,27.47289296221122,908.7343070910807,True,
5,5.0,26.0,53.83128553908126,279.9226848032226,422.3355269213965,0.28962400905721214,0.06350891647868273,23.434986806310377,775.1705117627702,True,
6,5.0,26.0,57.18041008448963,247.78177703278843,422.3355269213965,0.2851946650104017,0.05621678069277287,20.744166124619447,686.1649210138756,True,
2,5.0,28.0,43.82085137283531,613.4919192196944,422.3355269213965,0.3294881054785062,0.1292470894012791,47.692576142275534,1577.5506494220713,False,battery 613.5 Wh > 422.3 Wh
3,5.0,28.0,47.14534960492421,440.02326297929267,422.3355269213965,0.3073413852444539,0.09270167092219052,34.20720357768448,1131.4883905181812,False,battery 440.0 Wh > 422.3 Wh
4,5.0,28.0,50.48523928283781,353.3966749798647,422.3355269213965,0.2962680251274278,0.07445165977627283,27.47289296221122,908.7343070910807,True,
5,5.0,28.0,53.83128553908126,301.45519901885507,422.3355269213965,0.28962400905721214,0.06350891647868273,23.434986806310377,775.1705117627702,True,
6,5.0,28.0,57.18041008448963,266.8419137276183,422.3355269213965,0.2851946650104017,0.05621678069277287,20.744166124619447,686.1649210138756,True,
2,5.0,30.0,43.82085137283531,657.3127705925298,422.3355269213965,0.3294881054785062,0.1292470894012791,47.692576142275534,1577.5506494220713,False,battery 657.3 Wh > 422.3 Wh
3,5.0,30.0,47.14534960492421,471.4534960492422,422.3355269213965,0.3073413852444539,0.09270167092219052,34.20720357768448,1131.4883905181812,False,battery 471.5 Wh > 422.3 Wh
4,5.0,30.0,50.48523928283781,378.6392946212837,422.3355269213965,0.2962680251274278,0.07445165977627283,27.47289296221122,908.7343070910807,True,
5,5.0,30.0,53.83128553908126,322.98771323448756,422.3355269213965,0.28962400905721214,0.06350891647868273,23.434986806310377,775.1705117627702,True,
6,5.0,30.0,57.18041008448963,285.9020504224482,422.3355269213965,0.2851946650104017,0.05621678069277287,20.744166124619447,686.1649210138756,True,
2,5.0,32.0,43.82085137283531,701.133621965365,422.3355269213965,0.3294881054785062,0.1292470894012791,47.692576142275534,1577.5506494220713,False,battery 701.1 Wh > 422.3 Wh
3,5.0,32.0,47.14534960492421,502.8837291191917,422.3355269213965,0.3073413852444539,0.09270167092219052,34.20720357768448,1131.4883905181812,False,battery 502.9 Wh > 422.3 Wh
